Class,Energy,Contrast,Correlation,Variance,Homogeniety/IDM,Sum Avg,Sum Variance,Sum Entropy,Entropy,Diff Variance,Diff Entropy,Info Measure of Correl I,Info Measure of Correl II,Maximal Correl Coeff,Autocorrelation,Cluster Prominence,Cluster Shade,Dissimilarity,Max Prob,Inverse Diff,Inverse Diff Normalized,Inverse Moment Normalized,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,m(L5E5/E5L5),m(L5R5/R5L5),m(E5S5_S5E5),m(S5S5),m(R5R5),m(L5S5/S5L5),m(E5E5),m(E5R5/R5E5),m(S5R5/R5S5),s(L5E5/E5L5),s(L5R5/R5L5),s(E5S5_S5E5),s(S5S5),s(R5R5),s(L5S5/S5L5),s(E5E5),s(E5R5/R5E5),s(S5R5/R5S5),Skewness,Kurtosis
nor,0.113355109,0.281807372,0.790320025,0.364896708,0.52045371,0.406990639,0.360052469,0.948243208,0.736392253,0.271368216,0.54107811,0.433875037,0.83055281,0.088720172,#DIV/0!,0.640651074,0.268159767,0.29503408,0.421875,0.603561255,0.675221624,0.78295173,0.370616646,0.730600984,0.385106471,0.463399651,0.40378198,0.494367741,0.455412116,0.287491357,0.560483603,0.640272812,0.331697486,0.654668971,0.361093877,0.785789015,0.526140074,0.246925889,0.660898413,0.924617243,0.275742473,0.266343535,0.30464164,0.66305883,0.431343638,1,0.173834639,0.66094231,0.107769301,0.718936082,0.867330615,0.744665841,0.129375866
nor,0.07209467,0.244649227,0.717655987,0.485072676,0.52545309,0.559649472,0.481031536,0.959911832,0.750294974,0.232612935,0.488502488,0.504313377,0.77522062,0.117612803,#DIV/0!,0.521962953,0.35285923,0.374878286,0.34375,0.523170351,0.594563665,0.705177312,0.583321975,0.648345439,0.447794907,0.548781895,0.49054505,0.542712088,0.343329676,0.483167829,0.180020232,0.611152254,0.339169558,0.743310887,0.517205173,0.788782331,0.561874014,0.282201016,0.492782211,0.81397795,0.455830492,0.343654863,0.971737128,0.662731138,0.454959289,0.56014488,0.296368534,0.20858364,0.374537195,0.333981332,0.694867201,0.571624761,0.841394675
nor,0.080091404,0.237217598,0.755815364,0.504398159,0.507111513,0.571101374,0.500468088,0.962299377,0.737738772,0.223919402,0.475230563,0.458740369,0.810902294,0.152126943,#DIV/0!,0.522461577,0.500706152,0.340798442,0.34375,0.545360269,0.625374138,0.748453358,0.569925165,0.460900787,0.432364488,0.581390129,0.489432703,0.517809669,0.315776165,0.409473572,0.284255596,0.433395136,0.298943496,0.461116739,0.572901255,0.61168265,0.413801959,0.368276124,0.69165247,0.821496747,0.320655183,0.24843775,0.316982459,0.793527116,0.442774065,0.660570042,0.249992327,0.948665001,0.813294602,0.629031257,0.671517757,0.065546762,0.248070813
nor,0.326505845,0.143579073,0.869182818,0.701616663,0.723472731,0.736904999,0.699313108,0.736847978,0.530331453,0.136740331,0.350895193,0.280578091,0.869558321,0.257363187,#DIV/0!,0.769490002,0.414401038,0.185004869,0.578125,0.748746722,0.795493047,0.864985859,0.455226894,0.651846681,0.288131686,0.402171935,0.308120133,0.346383889,0.55117452,0.282382889,0.500325771,0.466160369,0.494499745,0.261188249,0.412780986,0.386544609,0.291227941,0.216113564,0.848560925,0.748802057,0.226487132,0.15370133,0.346977395,0.75368955,0.457113927,0.771252989,0.279438374,0.81353509,0.415541238,0.614733932,0.730434953,0.113430665,0.517789309
nor,0.091947774,0.214922711,0.774313548,0.525678001,0.559013603,0.592312288,0.522157996,0.952681059,0.721554323,0.20320117,0.452274238,0.443677255,0.817744967,0.162498109,#DIV/0!,0.638257832,0.343100568,0.307692308,0.421875,0.599440271,0.664163678,0.765688246,0.697266409,0.407615251,0.451936044,0.540290203,0.487208009,0.542804138,0.346209002,0.513280019,0.25520004,0.435745857,0.333495801,0.556015732,0.463274949,0.468759082,0.350221961,0.205858615,0.64260737,0.685223421,0.281571508,0.234337446,0.581963396,0.689784484,0.50370208,0.438264664,0.103435209,0.184020186,0.36260745,0.711052043,0.739106778,0.482144249,0.27548257
nor,0.037998583,0.516349584,0.491970417,0.452620635,0.297432312,0.512646883,0.443551811,0.990006684,0.874540059,0.50641859,0.742935083,0.732413233,0.548022703,0.080438276,#DIV/0!,0.433466008,0.592835456,0.563777994,0.3125,0.360106149,0.41301988,0.496476428,0.694004245,0.528025659,0.583707264,0.688401373,0.642936596,0.660992948,0.195415165,0.540729814,0.223307592,0.604461941,0.163632337,0.714617722,0.679282203,1,0.854532781,0.70227413,0.813682417,0.941174179,0.612631518,0.528120494,0.392754295,0.712594438,0.264380795,0.08710292,0.241623295,0.654101728,0.115867303,0.494037344,0.398984724,0.56081653,0.215538711
nor,0.939883512,0.007431629,0.833682817,0,1,0,0,0.116972578,0.050486111,0.008043549,0.027045189,0.109820852,0.767077257,0.391648129,#DIV/0!,0.550532734,0.419268807,0.154819864,0.453125,0.764469865,0.823766697,0.900634875,0.421044131,0.807177939,0,0,0,0.011634821,0.820896442,0.226266499,0.702254888,0.285550218,0.629769537,0.879149038,0.178494726,0.175791921,0.140147485,0.325072402,0.408858603,0.268767774,0.131328145,0.150296427,0.786249848,0.139182989,0.557027812,0.776514673,0.081100499,0.54203686,0.690149716,0.628264082,0.818156963,0.11888462,0.396047316
nor,0.142504275,0.0921522,0.827275141,0.486705176,0.6887294,0.583648676,0.485532804,0.873763592,0.571351761,0.081085473,0.217585469,0.281861406,0.882272132,0.283927834,#DIV/0!,0.491870221,0.723355775,0.217137293,0.34375,0.64876529,0.748008926,0.875716943,0.218597272,0.907904522,0.168212278,0.279526049,0.205784205,0.240478443,0.580010994,0.046532267,0.714854057,0.556914752,0.401924614,0.569483344,0.323008638,0.390903807,0.239094545,0.160850781,0.39783018,0.423584869,0.138089825,0.141964429,0.695233671,0.645281924,0.601378881,0.677627465,0.057985078,0.661865693,0.647661861,0.619503197,0.771012531,0.340913482,0.056552022
nor,1,0.012782402,0.662672759,1,0.972653229,1,1,0,0,0.012268443,0.046945169,0.322993143,0.545292095,0.63208807,#DIV/0!,0.659145071,0.209588648,0.263875365,0.390625,0.650096685,0.71222488,0.798234767,0.661347883,0.520966589,0.224753501,0.426908446,0.291434928,0.265236391,0.483469327,0.336531744,0.511631195,0.334397267,0.402541902,0.73428282,0.602539016,0.454519035,0.317863301,0.298960262,0.491616605,0.347773579,0.304508758,0.263339208,0.436855873,0.680299197,0.530395802,0.737431769,0.096319736,0.607332786,0.151923001,0.529768354,0.855317061,0.446424061,0.03580229
nor,0.414251104,0.054102259,0.793340152,0.064663455,0.828144311,0.103664609,0.063948489,0.502805609,0.322964325,0.048261293,0.160335594,0.256184651,0.804617551,0.539776865,#DIV/0!,0.462203293,0.100321659,0.225900682,0.421875,0.677612184,0.746946496,0.845240958,0.431348153,0.65162005,0.226142289,0.365672202,0.244716352,0.317457781,0.591845725,0.248596089,0.584132464,0.481442004,0.454635741,0.988081759,0.242686012,0.505405405,0.330043659,0.192565162,0.15529454,0.566831587,0.202063478,0.18654863,0.569917396,0.617576446,0.640916229,0.736929148,0.063613365,0.484058092,0.608111192,0.793023475,0.731508011,0.777841838,0.263277437
