Class,Energy,Contrast,Correlation,Variance,Homogeniety/IDM,Sum Avg,Sum Variance,Sum Entropy,Entropy,Diff Variance,Diff Entropy,Info Measure of Correl I,Info Measure of Correl II,Maximal Correl Coeff,Autocorrelation,Cluster Prominence,Cluster Shade,Dissimilarity,Max Prob,Inverse Diff,Inverse Diff Normalized,Inverse Moment Normalized,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,m(L5E5/E5L5),m(L5R5/R5L5),m(E5S5_S5E5),m(S5S5),m(R5R5),m(L5S5/S5L5),m(E5E5),m(E5R5/R5E5),m(S5R5/R5S5),s(L5E5/E5L5),s(L5R5/R5L5),s(E5S5_S5E5),s(S5S5),s(R5R5),s(L5S5/S5L5),s(E5E5),s(E5R5/R5E5),s(S5R5/R5S5),Skewness,Kurtosis
nor,0.050414912,1.275201613,0.889907621,22.96551317,0.67271703,8.319556452,91.10584677,2.654079356,4.85826867,1.1015625,1.132244024,-0.363471181,0.940450784,0.113109146,,700.3567665,-1.662941513,0.728830645,0.091733871,0.69484207,0.923246579,0.983437312,0.128043252,24.56104903,373.2905074,94.82627011,2.6875,0.756325466,3.354306695,0.085251363,0.71764984,18.50061206,79.13697437,98.38769531,71.91113281,67.87109375,32.20703125,18.79589844,89.36523438,106.0302734,34.92285156,18.09472656,14.88095176,13.99647858,4.140817852,19.27673122,15.42050486,16.24299319,4.264883905,8.494720278,10.86532147,0.534751725,2.447087934
nor,0.041121309,1.149193548,0.867487309,28.51142736,0.674596774,9.864919355,113.5120968,2.665752753,4.896005732,0.981350806,1.084867179,-0.335707082,0.928041551,0.116934757,,674.0772626,-0.198775212,0.811491935,0.086693548,0.673538306,0.915670821,0.980140473,0.136975929,24.24435227,391.782704,97.35684766,2.763671875,0.764930275,2.995038522,0.097726357,0.436548115,18.32199241,79.84516235,101.2929688,75.10546875,67.97167969,33.15820313,19.52148438,87.53417969,103.2568359,40.95703125,19.97949219,23.06618726,13.9948526,4.24491932,14.78207672,17.19521558,9.823945994,5.860683292,5.596676038,9.874497303,0.168624817,7.042782359
nor,0.042922513,1.123991935,0.879261292,29.40326518,0.667700427,9.980846774,117.1118952,2.668141274,4.861923615,0.954385081,1.072907607,-0.353670219,0.936043805,0.121504701,,674.1876662,2.356996336,0.776209677,0.086693548,0.679418683,0.918564679,0.981974934,0.136413322,23.52266095,387.2309501,98.3232976,2.762695313,0.760497894,2.906718712,0.093028115,0.513561417,17.23166597,76.03261684,92.04394531,76.24511719,62.02050781,29.21679688,21.29199219,89.70019531,103.4453125,36.42773438,17.65820313,15.03237312,14.6438511,4.191204956,15.80827009,16.52352917,20.32582759,8.485319965,7.81789226,9.740351783,-0.90215429,3.213199305
nor,0.098425509,0.806451613,0.914240544,38.50455992,0.749051233,11.65927419,153.9395161,2.442597674,4.298944407,0.683971774,0.960866753,-0.423894972,0.949198468,0.135438807,,728.8838263,0.8650738,0.614919355,0.101814516,0.733316532,0.934543011,0.986914719,0.131596506,24.2578326,344.6843256,93.01158971,2.603515625,0.729985825,3.661262753,0.084925682,0.6732028,17.43264133,94.5670461,85.49121094,72.96875,54.45507813,25.95410156,18.16210938,91.40917969,101.6230469,33.27246094,15.34863281,15.40040981,14.44618049,4.254417303,16.93928251,16.95000885,18.40831096,6.105968529,7.710258102,10.07883855,-0.800839705,4.954085602
nor,0.045593071,1.048387097,0.884968862,30.38529328,0.68721537,10.19556452,121.1290323,2.658519023,4.817993108,0.890120968,1.052221247,-0.359607522,0.937578397,0.122877925,,699.8268636,-0.367469363,0.741935484,0.091733871,0.69375,0.922207967,0.982705517,0.141761088,23.31750327,393.0042804,97.10516904,2.760742188,0.764946659,3.004267889,0.099646104,0.492093997,17.24608482,79.30741503,95.15429688,74.00195313,57.21777344,27.52441406,17.95117188,89.16601563,100.0292969,35.11816406,17.31445313,18.28367884,14.129089,4.459785142,13.53664513,14.40087985,9.475386361,5.789319834,8.435367083,10.12865928,-0.020701459,3.390127299
nor,0.033441423,2.070564516,0.797852576,27.01382151,0.588862027,9.389112903,106.5705645,2.695859912,5.233252267,1.830645161,1.314140999,-0.245798846,0.877088356,0.112012558,,654.4825821,3.949599374,1.007056452,0.084677419,0.630325941,0.898619414,0.971293693,0.141624091,23.78110223,431.8749156,101.4949202,2.897460938,0.785983082,2.520914507,0.101396115,0.468530567,18.28095538,63.20809644,100.3525391,78.421875,75.06933594,40.94824219,28.16210938,91.02929688,106.4453125,46.2109375,24.4765625,15.96209057,14.24227005,3.40481961,9.948302868,16.40231691,16.14592416,4.313325969,6.801621303,8.174614964,0.14575635,3.003222264
nor,0.236584206,0.344758065,0.903287105,6.126157699,0.853024194,4.199596774,24.42137097,1.822468772,2.996468908,0.284778226,0.669039649,-0.491200943,0.926215257,0.153219189,,680.4030826,0.949221006,0.583669355,0.09375,0.737483199,0.937198599,0.988425872,0.130160982,24.85588233,259.6895776,81.0919303,2.333007813,0.670403849,4.525827289,0.081348085,0.822396198,16.32481496,107.3876459,105.7451172,68.17480469,47.37304688,21.93261719,20.40332031,86.62011719,89.58984375,30.08398438,15.265625,20.79026559,11.39705131,4.694853284,16.99304896,14.07739671,14.55570444,7.748670101,7.812116761,10.58281261,-0.78930002,4.168307204
nor,0.056980542,0.632056452,0.901310032,28.58676443,0.735987903,10.1078629,114.3457661,2.579569282,4.410288501,0.511340726,0.840738947,-0.423389138,0.952049767,0.138956175,,667.4142364,6.205852766,0.648185484,0.086693548,0.706821237,0.930083089,0.987369607,0.121659115,25.24369548,309.3098064,89.37658424,2.513671875,0.711135718,3.753694962,0.06988946,0.831704973,17.98931047,85.79296077,95.59570313,71.13183594,54.6015625,24.56640625,17.02539063,86.5,93.47070313,30.31054688,15.0625,19.67350067,13.90827109,4.890359713,15.98257117,13.7426062,16.25609617,7.494508736,7.746162434,10.31196187,-0.319522896,1.9770496
nor,0.250124992,0.362903226,0.850522368,52.27443769,0.842741935,14.32258065,209.6290323,1.705448356,2.859431167,0.297883065,0.686971882,-0.407176581,0.876475968,0.185055327,,704.451642,-2.675437397,0.696572581,0.089717742,0.707174059,0.926722091,0.984085156,0.14025267,23.75392371,325.9886627,93.74473581,2.588867188,0.715542384,3.44424106,0.088377843,0.681555705,16.62443294,85.8514661,100.9970703,76.8515625,56.73925781,26.66308594,19.86621094,87.52148438,91.5703125,35.88671875,18.02148438,16.50321521,14.08202381,4.577455234,16.59368076,14.29782341,15.48226485,4.529010321,7.070614087,10.79630208,-0.096279594,1.843121355
nor,0.118189467,0.503024194,0.890839474,9.110264932,0.788407258,5.248991935,36.26512097,2.208459592,3.73607429,0.40952621,0.789150047,-0.433509933,0.934634339,0.172832598,,660.84549,-4.564292829,0.657258065,0.091733871,0.714465726,0.929983301,0.986077737,0.130593705,24.25696004,326.3983355,91.92980269,2.547851563,0.724837268,3.791629917,0.082771667,0.735122574,17.5263758,90.78881572,109.3154297,69.48828125,58.44921875,26.98730469,17.67773438,83.85839844,97.06152344,32.45410156,16.14941406,18.13587489,13.77079887,5.064646506,16.58854473,13.82412307,13.73297577,7.257917548,9.052470357,10.0850034,0.604946764,3.311349798
